Subject,Age,Year,Sex,Session,Task,Scorer,Scores,Mean_Perspiration
10,24,2,1,4,Suturing,Scorer1,14,0.000794676
10,24,2,1,5,Suturing,Scorer1,15,NA
11,22,1,1,1,Suturing,Scorer1,14,-0.000564729
11,22,1,1,2,Suturing,Scorer1,17,-0.001358432
11,22,1,1,3,Suturing,Scorer1,18,0.001632317
11,22,1,1,4,Suturing,Scorer1,20,0.000992751
11,22,1,1,5,Suturing,Scorer1,23,0.001036241
12,23,1,1,1,Suturing,Scorer1,11,0.000647747
12,23,1,1,2,Suturing,Scorer1,15,0.000581202
12,23,1,1,3,Suturing,Scorer1,18,0.002340688
12,23,1,1,4,Suturing,Scorer1,20,0.002211148
12,23,1,1,5,Suturing,Scorer1,24,0.001114447
13,22,1,1,1,Suturing,Scorer1,13,0.000380757
13,22,1,1,2,Suturing,Scorer1,16,0.000228226
13,22,1,1,3,Suturing,Scorer1,19,-0.000383011
13,22,1,1,4,Suturing,Scorer1,17,-0.000206637
13,22,1,1,5,Suturing,Scorer1,19,2.96E-05
19,23,1,2,1,Suturing,Scorer1,12,NA
19,23,1,2,2,Suturing,Scorer1,22,-0.000614011
19,23,1,2,3,Suturing,Scorer1,23,-0.000869574
19,23,1,2,4,Suturing,Scorer1,25,0.001520901
19,23,1,2,5,Suturing,Scorer1,27,0.001417039
21,22,1,2,1,Suturing,Scorer1,13,0.000933202
21,22,1,2,2,Suturing,Scorer1,17,-0.001159026
21,22,1,2,3,Suturing,Scorer1,18,0.001956897
21,22,1,2,4,Suturing,Scorer1,24,0.004036705
21,22,1,2,5,Suturing,Scorer1,25,0.005111483
22,26,2,2,1,Suturing,Scorer1,16,0.00376329
22,26,2,2,2,Suturing,Scorer1,23,0.002940349
22,26,2,2,3,Suturing,Scorer1,23,0.001118991
22,26,2,2,4,Suturing,Scorer1,24,0.001095778
22,26,2,2,5,Suturing,Scorer1,26,0.000767989
24,25,3,2,1,Suturing,Scorer1,21,-0.002538857
24,25,3,2,2,Suturing,Scorer1,22,-0.001865391
24,25,3,2,3,Suturing,Scorer1,24,0.001526848
24,25,3,2,4,Suturing,Scorer1,23,0.00264187
24,25,3,2,5,Suturing,Scorer1,23,7.94E-05
26,22,1,2,1,Suturing,Scorer1,15,-0.000367012
26,22,1,2,2,Suturing,Scorer1,24,0.000613241
26,22,1,2,3,Suturing,Scorer1,23,0.000512593
26,22,1,2,4,Suturing,Scorer1,25,-0.000114624
26,22,1,2,5,Suturing,Scorer1,27,0.000697178
1,22,1,1,1,Cutting,Scorer2,20,-1.60E-05
1,22,1,1,2,Cutting,Scorer2,18,0.001147167
1,22,1,1,3,Cutting,Scorer2,23,-0.000858981
1,22,1,1,4,Cutting,Scorer2,23,NA
1,22,1,1,5,Cutting,Scorer2,23,NA
2,23,1,1,1,Cutting,Scorer2,19,-0.005921682
2,23,1,1,2,Cutting,Scorer2,20,-0.006055766
2,23,1,1,3,Cutting,Scorer2,23,0.001058339
2,23,1,1,4,Cutting,Scorer2,21,6.72E-05
2,23,1,1,5,Cutting,Scorer2,22,-0.000573203
3,23,1,1,1,Cutting,Scorer2,17,-0.001787928
3,23,1,1,2,Cutting,Scorer2,23,NA
3,23,1,1,3,Cutting,Scorer2,26,8.62E-05
3,23,1,1,4,Cutting,Scorer2,25,0.002987119
3,23,1,1,5,Cutting,Scorer2,24,0.000534693
4,23,1,1,1,Cutting,Scorer2,12,0.000156012
4,23,1,1,2,Cutting,Scorer2,12,0.000615403
4,23,1,1,3,Cutting,Scorer2,14,0.000118416
4,23,1,1,4,Cutting,Scorer2,15,9.16E-05
4,23,1,1,5,Cutting,Scorer2,19,0.000641786
7,25,3,1,1,Cutting,Scorer2,25,-0.001695923
7,25,3,1,2,Cutting,Scorer2,24,0.000567953
7,25,3,1,3,Cutting,Scorer2,28,0.000727105
7,25,3,1,4,Cutting,Scorer2,27,-0.002204906
7,25,3,1,5,Cutting,Scorer2,23,0.000231966
