"","X.1","X","Subject","Age","Year","Sex","Session","Task","Score1","Score2","Mean_Perspiration","Normalised_Data","Time"
"66",66,66,24,25,3,2,1,"Cutting",17,14,-0.00254160789052921,0.00351415801336762,5.5
"67",67,67,24,25,3,2,2,"Cutting",25,23,-0.00152896132633516,0.00452680457756167,3.05
"68",68,68,24,25,3,2,3,"Cutting",25,23,0.00105047949521672,0.00710624539911355,5.2
"69",69,69,24,25,3,2,4,"Cutting",25,29,0.00174052226508271,0.00779628816897954,6.5
"70",70,70,24,25,3,2,5,"Cutting",22,24,0.000850372851214278,0.00690613875511111,8.15
"71",71,71,26,22,1,2,1,"Cutting",10,12,-0.000638905261503378,0.00541686064239345,10
"72",72,72,26,22,1,2,2,"Cutting",24,25,0.0000924911496396749,0.0061482570535365,2.3
"73",73,73,26,22,1,2,3,"Cutting",27,22,0.000563949564884651,0.00661971546878148,4.3
"74",74,74,26,22,1,2,4,"Cutting",27,24,-0.000409321045455754,0.00564644485844108,1.15
"75",75,75,26,22,1,2,5,"Cutting",26,25,0.000781027957290618,0.00683679386118745,2.1
"76",76,76,1,22,1,1,1,"Suturing",13,15,0.000414439627362946,0.00647020553125978,20
"77",77,77,1,22,1,1,2,"Suturing",15,13,0.000858540407981617,0.00691430631187845,20
"78",78,78,1,22,1,1,3,"Suturing",16,17,0.000185969276240337,0.00624173518013717,20
"79",79,79,1,22,1,1,4,"Suturing",17,18,NA,NA,20
"80",80,80,1,22,1,1,5,"Suturing",15,23,NA,NA,20
"81",81,81,2,23,1,1,1,"Suturing",15,17,-0.0056341905093118,0.00042157539458503,20
"82",82,82,2,23,1,1,2,"Suturing",16,19,-0.00484020265861492,0.00121556324528191,20
"83",83,83,2,23,1,1,3,"Suturing",16,14,0.000272412797676434,0.00632817870157326,20
"84",84,84,2,23,1,1,4,"Suturing",19,21,-0.00069616352863114,0.00535960237526569,20
"85",85,85,2,23,1,1,5,"Suturing",20,22,-0.000811580028227996,0.00524418587566883,19.1
"86",86,86,3,23,1,1,1,"Suturing",18,17,-0.00150217080213948,0.00455359510175735,20
"87",87,87,3,23,1,1,2,"Suturing",20,22,NA,NA,20
"88",88,88,3,23,1,1,3,"Suturing",25,23,0.00117657255932668,0.00723233846322351,15.05
"89",89,89,3,23,1,1,4,"Suturing",24,25,0.00252601487936754,0.00858178078326437,15.25
"90",90,90,3,23,1,1,5,"Suturing",23,24,-0.00021782159857069,0.00583794430532614,18.1
"91",91,91,4,23,1,1,1,"Suturing",12,11,0.000990617079970401,0.00704638298386723,20
"92",92,92,4,23,1,1,2,"Suturing",18,17,0.0000595207337151403,0.00611528663761197,20
"93",93,93,4,23,1,1,3,"Suturing",19,22,-0.00128990854028674,0.00476585736361009,20
"94",94,94,4,23,1,1,4,"Suturing",22,24,0.000241087530169115,0.00629685343406595,17.3
"95",95,95,4,23,1,1,5,"Suturing",22,19,0.000567027224410514,0.00662279312830734,16.05
"96",96,96,7,25,3,1,1,"Suturing",22,23,-0.0000862264570633698,0.00596953944683346,20
"97",97,97,7,25,3,1,2,"Suturing",25,25,-0.00000447916475939357,0.00605128673913744,16.25
"98",98,98,7,25,3,1,3,"Suturing",27,24,0.0161902433722013,0.0222460092760981,16.2
"99",99,99,7,25,3,1,4,"Suturing",29,28,-0.000497204394369169,0.00555856150952766,12.1
"100",100,100,7,25,3,1,5,"Suturing",23,23,0.000846084034602349,0.00690184993849918,17.1
"101",101,101,8,22,1,1,1,"Suturing",9,10,NA,NA,20
"102",102,102,8,22,1,1,2,"Suturing",21,20,-0.00209890907872181,0.00395685682517502,20
"103",103,103,8,22,1,1,3,"Suturing",22,26,-0.000871458378599777,0.00518430752529705,20
"104",104,104,8,22,1,1,4,"Suturing",28,29,0.000212254221708915,0.00626802012560575,11.55
