"","Subject","Age","Year","Sex","Session","Task","Score1","Score2","Mean_Perspiration"
"42",7,25,3,"1",1,"Suturing",22,23,-8.62264570633698e-05
"44",7,25,3,"1",2,"Suturing",25,25,-4.47916475939357e-06
"46",7,25,3,"1",3,"Suturing",27,24,0.0161902433722013
"48",7,25,3,"1",4,"Suturing",29,28,-0.000497204394369169
"50",7,25,3,"1",5,"Suturing",23,23,0.000846084034602349
"52",8,22,1,"1",1,"Suturing",9,10,NA
"54",8,22,1,"1",2,"Suturing",21,20,-0.00209890907872181
"56",8,22,1,"1",3,"Suturing",22,26,-0.000871458378599777
"58",8,22,1,"1",4,"Suturing",28,29,0.000212254221708915
"60",8,22,1,"1",5,"Suturing",27,25,-0.000955868895801788
"62",10,24,2,"1",1,"Suturing",10,13,-0.000388135735235016
"64",10,24,2,"1",2,"Suturing",12,14,NA
"66",10,24,2,"1",3,"Suturing",13,18,0.000674917372018897
"68",10,24,2,"1",4,"Suturing",14,19,0.000794675826135427
"70",10,24,2,"1",5,"Suturing",15,21,NA
"72",11,22,1,"1",1,"Suturing",14,17,-0.00056472881287915
"74",11,22,1,"1",2,"Suturing",17,21,-0.00135843212571452
"76",11,22,1,"1",3,"Suturing",18,23,0.00163231725980294
"78",11,22,1,"1",4,"Suturing",20,22,0.000992750510212864
"80",11,22,1,"1",5,"Suturing",23,16,0.00103624134896252
"82",12,23,1,"1",1,"Suturing",11,10,0.000647747358345596
"84",12,23,1,"1",2,"Suturing",15,16,0.000581202154583005
"86",12,23,1,"1",3,"Suturing",18,20,0.00234068771180792
"88",12,23,1,"1",4,"Suturing",20,22,0.00221114752009552
"90",12,23,1,"1",5,"Suturing",24,24,0.00111444701834295
"92",13,22,1,"1",1,"Suturing",13,15,0.000380757168957882
"94",13,22,1,"1",2,"Suturing",16,15,0.000228225788558077
"96",13,22,1,"1",3,"Suturing",19,19,-0.000383011238074821
"98",13,22,1,"1",4,"Suturing",17,18,-0.000206636568392314
"100",13,22,1,"1",5,"Suturing",19,25,2.95511208527645e-05
"102",19,23,1,"2",1,"Suturing",12,16,NA
"104",19,23,1,"2",2,"Suturing",22,24,-0.000614011021083215
