"","Subject","Age","Year","Sex","Session","Scorer","Scores","Mean_Perspiration"
"99",7,25,3,"1",4,"Scorer2",27,-0.00220490550847957
"100",7,25,3,"1",5,"Scorer2",23,0.000231966336888968
"101",8,22,1,"1",1,"Scorer2",21,NA
"102",8,22,1,"1",2,"Scorer2",20,-0.00251018669572685
"103",8,22,1,"1",3,"Scorer2",25,-0.00216773863171121
"104",8,22,1,"1",4,"Scorer2",25,0.000215657466795738
"105",8,22,1,"1",5,"Scorer2",25,-0.000212901704713079
"106",10,24,2,"1",1,"Scorer2",13,-0.00100651776424983
"107",10,24,2,"1",2,"Scorer2",17,NA
"108",10,24,2,"1",3,"Scorer2",19,0.00131313983615226
"109",10,24,2,"1",4,"Scorer2",24,0.000375303171723313
"110",10,24,2,"1",5,"Scorer2",21,NA
"111",11,22,1,"1",1,"Scorer2",10,-0.00137222804988239
"112",11,22,1,"1",2,"Scorer2",12,-0.00185400388022271
"113",11,22,1,"1",3,"Scorer2",14,0.00274671252599287
"114",11,22,1,"1",4,"Scorer2",19,0.0023577184734148
"115",11,22,1,"1",5,"Scorer2",16,0.00117340373253955
"116",12,23,1,"1",1,"Scorer2",16,9.94860812679179e-05
"117",12,23,1,"1",2,"Scorer2",20,0.00126336697111072
"118",12,23,1,"1",3,"Scorer2",25,0.00228095234443755
"119",12,23,1,"1",4,"Scorer2",25,0.00265546382107251
"120",12,23,1,"1",5,"Scorer2",24,0.00304025483832655
"121",13,22,1,"1",1,"Scorer2",19,0.000337011107933965
"122",13,22,1,"1",2,"Scorer2",20,-0.000357259229028135
"123",13,22,1,"1",3,"Scorer2",23,3.00426927455216e-05
"124",13,22,1,"1",4,"Scorer2",22,-0.000667840902544326
"125",13,22,1,"1",5,"Scorer2",25,-0.000922060920504557
"126",19,23,1,"2",1,"Scorer2",20,NA
"127",19,23,1,"2",2,"Scorer2",24,0.000708714049691245
"128",19,23,1,"2",3,"Scorer2",26,0.000513184497828801
"129",19,23,1,"2",4,"Scorer2",27,0.000912616772469141
"130",19,23,1,"2",5,"Scorer2",28,0.00150409844134424
"131",21,22,1,"2",1,"Scorer2",18,0.000770346134048241
"132",21,22,1,"2",2,"Scorer2",21,-0.000216195759750088
"133",21,22,1,"2",3,"Scorer2",24,-0.000568408767595958
"134",21,22,1,"2",4,"Scorer2",22,0.000867734157599398
"135",21,22,1,"2",5,"Scorer2",26,0.00295844504163748
"136",22,26,2,"2",1,"Scorer2",14,0.00173012539004048
