,X,Subject,Age,Year,Sex,Session,Scorer,Task,Scores,Mean_Perspiration,Normalised_PP
66,66,24,25,3,Female,Session1,Scorer1,Cutting,17,-0.002541608,0.005014158
67,67,24,25,3,Female,Session2,Scorer1,Cutting,25,-0.001528961,0.006026805
68,68,24,25,3,Female,Session3,Scorer1,Cutting,25,0.001050479,0.008606245
69,69,24,25,3,Female,Session4,Scorer1,Cutting,25,0.001740522,0.009296288
70,70,24,25,3,Female,Session5,Scorer1,Cutting,22,0.000850373,0.008406139
71,71,26,22,1,Female,Session1,Scorer1,Cutting,10,-0.000638905,0.006916861
72,72,26,22,1,Female,Session2,Scorer1,Cutting,24,9.24911E-05,0.007648257
73,73,26,22,1,Female,Session3,Scorer1,Cutting,27,0.00056395,0.008119715
74,74,26,22,1,Female,Session4,Scorer1,Cutting,27,-0.000409321,0.007146445
75,75,26,22,1,Female,Session5,Scorer1,Cutting,26,0.000781028,0.008336794
76,76,1,22,1,Male,Session1,Scorer1,Suturing,13,0.00041444,0.007970206
77,77,1,22,1,Male,Session2,Scorer1,Suturing,15,0.00085854,0.008414306
78,78,1,22,1,Male,Session3,Scorer1,Suturing,16,0.000185969,0.007741735
79,79,1,22,1,Male,Session4,Scorer1,Suturing,17,NA,NA
80,80,1,22,1,Male,Session5,Scorer1,Suturing,15,NA,NA
81,81,2,23,1,Male,Session1,Scorer1,Suturing,15,-0.005634191,0.001921575
82,82,2,23,1,Male,Session2,Scorer1,Suturing,16,-0.004840203,0.002715563
83,83,2,23,1,Male,Session3,Scorer1,Suturing,16,0.000272413,0.007828179
84,84,2,23,1,Male,Session4,Scorer1,Suturing,19,-0.000696164,0.006859602
85,85,2,23,1,Male,Session5,Scorer1,Suturing,20,-0.00081158,0.006744186
86,86,3,23,1,Male,Session1,Scorer1,Suturing,18,-0.001502171,0.006053595
87,87,3,23,1,Male,Session2,Scorer1,Suturing,20,NA,NA
88,88,3,23,1,Male,Session3,Scorer1,Suturing,25,0.001176573,0.008732338
89,89,3,23,1,Male,Session4,Scorer1,Suturing,24,0.002526015,0.010081781
90,90,3,23,1,Male,Session5,Scorer1,Suturing,23,-0.000217822,0.007337944
91,91,4,23,1,Male,Session1,Scorer1,Suturing,12,0.000990617,0.008546383
92,92,4,23,1,Male,Session2,Scorer1,Suturing,18,5.95207E-05,0.007615287
93,93,4,23,1,Male,Session3,Scorer1,Suturing,19,-0.001289909,0.006265857
94,94,4,23,1,Male,Session4,Scorer1,Suturing,22,0.000241088,0.007796853
95,95,4,23,1,Male,Session5,Scorer1,Suturing,22,0.000567027,0.008122793
96,96,7,25,3,Male,Session1,Scorer1,Suturing,22,-8.62265E-05,0.007469539
97,97,7,25,3,Male,Session2,Scorer1,Suturing,25,-4.47916E-06,0.007551287
98,98,7,25,3,Male,Session3,Scorer1,Suturing,27,0.016190243,0.023746009
99,99,7,25,3,Male,Session4,Scorer1,Suturing,29,-0.000497204,0.007058562
100,100,7,25,3,Male,Session5,Scorer1,Suturing,23,0.000846084,0.00840185
101,101,8,22,1,Male,Session1,Scorer1,Suturing,9,NA,NA
102,102,8,22,1,Male,Session2,Scorer1,Suturing,21,-0.002098909,0.005456857
103,103,8,22,1,Male,Session3,Scorer1,Suturing,22,-0.000871458,0.006684308
104,104,8,22,1,Male,Session4,Scorer1,Suturing,28,0.000212254,0.00776802
105,105,8,22,1,Male,Session5,Scorer1,Suturing,27,-0.000955869,0.006599897
106,106,10,24,2,Male,Session1,Scorer1,Suturing,10,-0.000388136,0.00716763
107,107,10,24,2,Male,Session2,Scorer1,Suturing,12,NA,NA
108,108,10,24,2,Male,Session3,Scorer1,Suturing,13,0.000674917,0.008230683
109,109,10,24,2,Male,Session4,Scorer1,Suturing,14,0.000794676,0.008350442
110,110,10,24,2,Male,Session5,Scorer1,Suturing,15,NA,NA
111,111,11,22,1,Male,Session1,Scorer1,Suturing,14,-0.000564729,0.006991037
112,112,11,22,1,Male,Session2,Scorer1,Suturing,17,-0.001358432,0.006197334
113,113,11,22,1,Male,Session3,Scorer1,Suturing,18,0.001632317,0.009188083
114,114,11,22,1,Male,Session4,Scorer1,Suturing,20,0.000992751,0.008548516
115,115,11,22,1,Male,Session5,Scorer1,Suturing,23,0.001036241,0.008592007
116,116,12,23,1,Male,Session1,Scorer1,Suturing,11,0.000647747,0.008203513
117,117,12,23,1,Male,Session2,Scorer1,Suturing,15,0.000581202,0.008136968
118,118,12,23,1,Male,Session3,Scorer1,Suturing,18,0.002340688,0.009896454
119,119,12,23,1,Male,Session4,Scorer1,Suturing,20,0.002211148,0.009766913
120,120,12,23,1,Male,Session5,Scorer1,Suturing,24,0.001114447,0.008670213
121,121,13,22,1,Male,Session1,Scorer1,Suturing,13,0.000380757,0.007936523
122,122,13,22,1,Male,Session2,Scorer1,Suturing,16,0.000228226,0.007783992
123,123,13,22,1,Male,Session3,Scorer1,Suturing,19,-0.000383011,0.007172755
124,124,13,22,1,Male,Session4,Scorer1,Suturing,17,-0.000206637,0.007349129
125,125,13,22,1,Male,Session5,Scorer1,Suturing,19,2.95511E-05,0.007585317
126,126,19,23,1,Female,Session1,Scorer1,Suturing,12,NA,NA
127,127,19,23,1,Female,Session2,Scorer1,Suturing,22,-0.000614011,0.006941755
128,128,19,23,1,Female,Session3,Scorer1,Suturing,23,-0.000869574,0.006686192
129,129,19,23,1,Female,Session4,Scorer1,Suturing,25,0.001520901,0.009076667
130,130,19,23,1,Female,Session5,Scorer1,Suturing,27,0.001417039,0.008972805
131,131,21,22,1,Female,Session1,Scorer1,Suturing,13,0.000933202,0.008488968
132,132,21,22,1,Female,Session2,Scorer1,Suturing,17,-0.001159026,0.00639674
133,133,21,22,1,Female,Session3,Scorer1,Suturing,18,0.001956897,0.009512663
